"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev"
"1","","Todd Gurley","LAR","RB1","12","1","4","2.2","0.8"
"2","","Le'Veon Bell","PIT","RB2","7","1","4","2.3","1.0"
"3","","Antonio Brown","PIT","WR1","7","1","5","2.7","1.6"
"4","","David Johnson","ARI","RB3","9","1","11","5.3","2.8"
"5","","DeAndre Hopkins","HOU","WR2","10","1","9","5.4","1.8"
"6","","Ezekiel Elliott","DAL","RB4","8","2","15","7.2","2.9"
"7","","Odell Beckham Jr.","NYG","WR3","9","5","13","7.7","2.1"
"8","","Alvin Kamara","NO","RB5","6","2","30","8.8","5.7"
"9","","Julio Jones","ATL","WR4","8","6","15","9.4","2.6"
"10","","Michael Thomas","NO","WR5","6","6","14","9.8","2.1"
"11","","Keenan Allen","LAC","WR6","8","6","19","12.5","3.6"
"12","","Kareem Hunt","KC","RB6","12","7","21","14.1","3.7"
"13","","A.J. Green","CIN","WR7","9","9","20","14.1","3.2"
"14","","Davante Adams","GB","WR8","7","12","22","17.2","3.3"
"15","","Mike Evans","TB","WR9","5","11","28","18.6","4.6"
"16","","Melvin Gordon","LAC","RB7","8","9","34","21.1","6.8"
"17","","Leonard Fournette","JAC","RB8","9","11","34","21.4","7.2"
"18","","Dalvin Cook","MIN","RB9","10","9","33","21.8","8.0"
"19","","Adam Thielen","MIN","WR10","10","16","38","23.4","5.8"
"20","","Tyreek Hill","KC","WR11","12","7","44","24.1","8.2"
"21","","Josh Gordon","CLE","WR12","11","6","52","25.0","14.1"
"22","","Doug Baldwin","SEA","WR13","7","13","55","25.6","9.3"
"23","","Rob Gronkowski","NE","TE1","11","14","66","27.3","15.1"
"24","","Devonta Freeman","ATL","RB10","8","16","39","28.2","6.2"
"25","","Stefon Diggs","MIN","WR14","10","18","40","29.1","6.2"
"26","","Christian McCaffrey","CAR","RB11","4","15","44","29.2","8.0"
"27","","Saquon Barkley","NYG","RB12","9","4","56","29.5","18.6"
